annotation_id,tweet_id,llm_name_version,post_type,text,total_score,date,annotation_session,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,prompt_variant
1420,710,gpt-4o-2024-08-06,tweet,"NICK FUENTES' MOVEMENT IS TOO BIG TO IGNORE ANYMORE 

The Vice Presidential candidate is being asked about him in interviews.

Trump will know the Groypers and our demands after next week.

While 'MAGA' loses momentum, we continue to grow.

We are inevitable. Expect us. https://t.co/pkaqRLVvaU",12,2026-03-16 18:27:26,20260316_1530,2,Emotion or exaggeration with phrases like 'we are inevitable' and 'expect us'.,2,Emotion or exaggeration with phrases like 'we are inevitable' and 'expect us'.,1,No support for partisan violence or aggression is evident.,2,"Shows support for Nick Fuentes, who is associated with undemocratic behavior.",1,No explicit rejection of cross-party cooperation.,1,No generalized interpersonal suspicion is evident.,1,No terms that increase distrust or avoidance of outparty members.,2,Emotion or exaggeration with phrases like 'we are inevitable' and 'expect us'.,B
1421,711,gpt-4o-2024-08-06,tweet,"MAGA Influencers need to CHILL OUT &amp; Stop acting like losers. You're not helping ANYTHING, in fact, you're actively hurting Trump. Joe Rogan is a celebrity, suddenly we're supposed to care about celebrity opinions?

The internet is not real life.  Sign off &amp; Harvest a ballot. https://t.co/kxVH9Yyqhg",10,2026-03-16 18:27:35,20260316_1530,2,The tweet uses the term 'losers' which can be considered partisan name-calling.,1,The tweet does not show support for undemocratic practices or contain name-calling or exaggeration related to undemocratic practices.,1,There is no support for partisan violence or related name-calling or exaggeration.,1,The tweet does not show support for undemocratic candidates or related name-calling or exaggeration.,2,"The tweet uses the term 'losers' which reduces trust, indicating opposition to bipartisanship.",1,There is no general social distrust expressed in the tweet.,1,The tweet does not express resistance to interpersonal contact with outpartisans.,1,The tweet does not present biased evaluation of politicized facts or related emotion or exaggeration.,A
1422,711,gpt-4o-2024-08-06,tweet,"MAGA Influencers need to CHILL OUT &amp; Stop acting like losers. You're not helping ANYTHING, in fact, you're actively hurting Trump. Joe Rogan is a celebrity, suddenly we're supposed to care about celebrity opinions?

The internet is not real life.  Sign off &amp; Harvest a ballot. https://t.co/kxVH9Yyqhg",12,2026-03-16 18:27:42,20260316_1530,2,The tweet uses the term 'losers' which is partisan name-calling.,2,"The tweet suggests 'Harvest a ballot' which could imply support for norm-violating conduct, and uses emotion with 'CHILL OUT' and 'ANYTHING'.",1,There is no support for partisan violence or aggression in the tweet.,1,There is no support for undemocratic candidates in the tweet.,2,"The tweet uses name-calling with 'losers', reducing trust.",2,The tweet uses emotion with 'CHILL OUT' and 'ANYTHING'.,1,There is no language indicating outparty avoidance.,1,There is no distortion of factual claims in the tweet.,B
1423,712,gpt-4o-2024-08-06,tweet,"🚨DONALD TRUMP IS BACK ON 𝕏❗️

It has been announced that Trump is running ads on 𝕏, clearly indicating that he is coming to stay. 

Tonight’s interview with Elon Musk will change the course of the election and reignite the fire of the MAGA FIGHT campaign ✊🇺🇸 https://t.co/y3YkC7vlRu",11,2026-03-16 18:27:48,20260316_1530,2,"The tweet uses emotional language like 'reignite the fire' and 'MAGA FIGHT', indicating exaggeration.",1,The tweet does not show support for undemocratic practices or name-calling.,1,There is no support for partisan violence or related language.,2,"The tweet shows support for Trump, who is often criticized for undemocratic practices, but lacks name-calling or exaggeration.",1,The tweet does not oppose bipartisanship or contain name-calling.,1,There is no language indicating social distrust.,1,The tweet does not promote social distance or distrust.,2,The tweet presents a partisan stance by supporting Trump and using emotional language.,A
1424,712,gpt-4o-2024-08-06,tweet,"🚨DONALD TRUMP IS BACK ON 𝕏❗️

It has been announced that Trump is running ads on 𝕏, clearly indicating that he is coming to stay. 

Tonight’s interview with Elon Musk will change the course of the election and reignite the fire of the MAGA FIGHT campaign ✊🇺🇸 https://t.co/y3YkC7vlRu",10,2026-03-16 18:27:53,20260316_1530,1,No negative affect or name-calling towards opposing party members.,1,No support for undemocratic practices or norm-violating conduct.,1,No approval of forceful or threatening tactics.,2,"Support for Trump, who is often criticized for undemocratic behavior, but no name-calling or exaggeration.",1,No rejection of cross-party cooperation or name-calling.,1,No generalized suspicion or distrust expressed.,1,No terms that increase distrust or avoidance of the opposing party.,2,Exaggeration in claiming the interview will change the course of the election.,B
1425,713,gpt-4o-2024-08-06,tweet,"This dude is one of the most conservative Republicans out there..

Wow. https://t.co/xB4IrLoLMK",8,2026-03-16 18:27:59,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
1426,713,gpt-4o-2024-08-06,tweet,"This dude is one of the most conservative Republicans out there..

Wow. https://t.co/xB4IrLoLMK",8,2026-03-16 18:28:03,20260316_1530,1,No negative affect or name-calling towards opposing party.,1,No support for undemocratic practices or norm-violating conduct.,1,No approval of forceful or threatening tactics.,1,No support for undemocratic candidates.,1,No rejection of cross-party cooperation.,1,No generalized interpersonal suspicion.,1,No preference for limiting contact with opposing party.,1,No distortion of factual claims or partisan stance.,B
1427,714,gpt-4o-2024-08-06,tweet,"Anytime you try something new with Elon and it doesn’t explode, it’s a huge success. Congrats to Donald Trump on not blowing up.",10,2026-03-16 18:28:09,20260316_1530,2,"The tweet uses sarcasm and exaggeration towards Donald Trump, indicating emotion.",1,There is no support for undemocratic practices or related name-calling.,1,There is no support for partisan violence or related name-calling.,1,There is no support for undemocratic candidates.,1,There is no opposition to bipartisanship or related name-calling.,1,There is no social distrust or related name-calling.,1,There is no social distance or related name-calling.,2,"The tweet uses sarcasm and exaggeration, indicating emotion.",A
1428,714,gpt-4o-2024-08-06,tweet,"Anytime you try something new with Elon and it doesn’t explode, it’s a huge success. Congrats to Donald Trump on not blowing up.",11,2026-03-16 18:28:15,20260316_1530,2,"The tweet uses sarcasm and exaggeration directed at Donald Trump, indicating negative affect.",1,There is no endorsement of norm-violating conduct or partisan name-calling.,1,There is no support for partisan violence or aggression.,1,There is no mention of support for authoritarian candidates.,1,There is no rejection of cross-party cooperation.,2,"The tweet uses sarcasm, which can indicate distrust or suspicion.",1,There is no indication of outparty avoidance.,2,"The tweet uses sarcasm and exaggeration, which can distort factual claims.",B
1429,715,gpt-4o-2024-08-06,quote,Weird MAGA TV host clip 2 is Kayleigh.,12,2026-03-16 18:28:21,20260316_1530,2,Partisan name-calling with 'MAGA'.,2,Partisan name-calling with 'MAGA'.,1,No support for partisan violence.,1,No support for undemocratic candidates.,2,Partisan name-calling with 'MAGA'.,1,No general social distrust expressed.,2,Partisan name-calling with 'MAGA'.,1,No biased evaluation of politicized facts.,A
1430,715,gpt-4o-2024-08-06,quote,Weird MAGA TV host clip 2 is Kayleigh.,12,2026-03-16 18:28:26,20260316_1530,2,Partisan name-calling with 'MAGA' and possible emotion with 'weird'.,2,Partisan name-calling with 'MAGA'.,1,No support for partisan violence or aggression.,1,No support for undemocratic candidates.,2,Partisan name-calling with 'MAGA'.,2,Partisan name-calling with 'MAGA'.,1,No terms that increase distrust or avoidance.,1,No distortion of factual claims.,B
1431,716,gpt-4o-2024-08-06,tweet,"President Trump just Truthed this video 🥰
""Black America is about to rise up!"" https://t.co/Sop0crAMcb",8,2026-03-16 18:28:32,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
1432,716,gpt-4o-2024-08-06,tweet,"President Trump just Truthed this video 🥰
""Black America is about to rise up!"" https://t.co/Sop0crAMcb",9,2026-03-16 18:28:37,20260316_1530,1,No partisan name-calling or negative affect towards opposing party.,1,No endorsement of norm-violating conduct or undemocratic practices.,1,No support for partisan violence or threatening tactics.,2,"Shows support for Trump, who is often criticized for undemocratic behavior.",1,No rejection of cross-party cooperation or reduction of trust.,1,No generalized suspicion or distrust expressed.,1,No terms that increase distrust or preference for limiting contact with opposing party.,1,No distortion of factual claims or partisan stance on controversial issues.,B
1433,717,gpt-4o-2024-08-06,tweet,"Can you imagine the outrage if a Conservative chancellor had appointed a Tory donor as a civil servant in @hmtreasury, without telling the @CivServComm? 

BBC push alerts? Guardian splash? Pious invocations of Northcote-Trevelyan? 🤯

And yet Labour do it….

One Rule for Them 👇",13,2026-03-16 18:28:44,20260316_1530,2,The tweet implies emotion and exaggeration with phrases like 'outrage' and 'One Rule for Them'.,1,The tweet does not show support for undemocratic practices or use partisan name-calling.,1,There is no support for partisan violence in the tweet.,1,The tweet does not show support for undemocratic candidates.,2,The tweet suggests opposition to bipartisanship by highlighting perceived hypocrisy.,2,The tweet implies distrust with the phrase 'One Rule for Them'.,2,The tweet increases distrust with the phrase 'One Rule for Them'.,2,The tweet presents a biased evaluation of politicized facts by suggesting media bias.,A
1434,717,gpt-4o-2024-08-06,tweet,"Can you imagine the outrage if a Conservative chancellor had appointed a Tory donor as a civil servant in @hmtreasury, without telling the @CivServComm? 

BBC push alerts? Guardian splash? Pious invocations of Northcote-Trevelyan? 🤯

And yet Labour do it….

One Rule for Them 👇",14,2026-03-16 18:28:50,20260316_1530,2,Emotion or exaggeration is present with phrases like 'outrage' and 'One Rule for Them'.,2,Emotion or exaggeration is present with phrases like 'outrage' and 'One Rule for Them'.,1,No support for partisan violence or aggression is present.,1,No support for undemocratic candidates is present.,2,Emotion or exaggeration is present with phrases like 'outrage' and 'One Rule for Them'.,2,Emotion or exaggeration is present with phrases like 'outrage' and 'One Rule for Them'.,2,Terms like 'One Rule for Them' increase distrust and distance.,2,Emotion or exaggeration is present with phrases like 'outrage' and 'One Rule for Them'.,B
1435,718,gpt-4o-2024-08-06,tweet,Donald Trump conectado com Elon Musk no X. https://t.co/GJtPVu0xwF,8,2026-03-16 18:28:54,20260316_1530,1,No partisan animosity or name-calling present.,1,No support for undemocratic practices or related language.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,1,No biased evaluation of politicized facts or related language.,A
1436,718,gpt-4o-2024-08-06,tweet,Donald Trump conectado com Elon Musk no X. https://t.co/GJtPVu0xwF,8,2026-03-16 18:28:59,20260316_1530,1,No negative affect or partisan name-calling present.,1,No endorsement of norm-violating conduct or partisan name-calling present.,1,No approval of forceful or threatening tactics present.,1,No support for undemocratic candidates or partisan name-calling present.,1,No rejection of cross-party cooperation or name-calling present.,1,No generalized interpersonal suspicion or name-calling present.,1,No outparty avoidance or terms that increase distrust present.,1,No partisan distortion of factual claims or emotion present.,B
1437,719,gpt-4o-2024-08-06,tweet,"Forget the polls. Regardless of whether they're good, bad, or indifferent, if we could rely on them, we'd never have heard from Donald Trump again.",9,2026-03-16 18:29:04,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,2,"Skepticism of polls, which can be seen as a biased evaluation of politicized facts.",A
1438,719,gpt-4o-2024-08-06,tweet,"Forget the polls. Regardless of whether they're good, bad, or indifferent, if we could rely on them, we'd never have heard from Donald Trump again.",9,2026-03-16 18:29:09,20260316_1530,1,No partisan name-calling or emotional language directed at a political party.,1,No endorsement of norm-violating conduct or partisan name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or name-calling.,1,No rejection of cross-party cooperation or emotional language.,1,No generalized interpersonal suspicion or emotional language.,1,No terms that increase distrust or emotional language.,2,"Partisan stance suggesting polls are unreliable, with some exaggeration.",B
1439,720,gpt-4o-2024-08-06,tweet,"🚨BREAKING: Kelsey Grammer has announced his endorsement of Donald Trump for President.

What's Your Reaction? https://t.co/vOkL11Ye1x",8,2026-03-16 18:29:14,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
1440,720,gpt-4o-2024-08-06,tweet,"🚨BREAKING: Kelsey Grammer has announced his endorsement of Donald Trump for President.

What's Your Reaction? https://t.co/vOkL11Ye1x",8,2026-03-16 18:29:20,20260316_1530,1,No negative affect or partisan name-calling present.,1,No support for undemocratic practices or norm-violating conduct.,1,No approval of forceful or threatening tactics.,1,No support for undemocratic candidates or behavior.,1,No rejection of cross-party cooperation.,1,No generalized interpersonal suspicion present.,1,No preference for limiting contact with opposing party.,1,No distortion of factual claims or partisan stance.,B
1441,721,gpt-4o-2024-08-06,tweet,Have we ever seen a more miserable and depressing cult of LOSERS than MAGA? This is a rhetorical question. 😂😂😂 https://t.co/unqH9IglKK,14,2026-03-16 18:29:27,20260316_1530,3,Partisan name-calling with 'cult of LOSERS' and emotional exaggeration with 'miserable and depressing'.,2,Partisan name-calling with 'cult of LOSERS' but no support for undemocratic practices.,1,No support for partisan violence or related factors.,1,No support for undemocratic candidates or related factors.,2,Partisan name-calling with 'cult of LOSERS' but no direct opposition to bipartisanship.,2,Partisan name-calling with 'cult of LOSERS' but no general social distrust.,2,Partisan name-calling with 'cult of LOSERS' but no events that damage communities.,1,No biased evaluation of politicized facts or related factors.,A
1442,721,gpt-4o-2024-08-06,tweet,Have we ever seen a more miserable and depressing cult of LOSERS than MAGA? This is a rhetorical question. 😂😂😂 https://t.co/unqH9IglKK,18,2026-03-16 18:29:34,20260316_1530,3,Partisan name-calling ('cult of LOSERS') and emotion/exaggeration ('miserable and depressing').,2,Partisan name-calling ('cult of LOSERS') but no support for undemocratic practices.,2,Partisan name-calling ('cult of LOSERS') but no support for partisan violence.,1,No support for undemocratic candidates.,3,Partisan name-calling ('cult of LOSERS') and emotion/exaggeration ('miserable and depressing').,3,Partisan name-calling ('cult of LOSERS') and emotion/exaggeration ('miserable and depressing').,2,Partisan name-calling ('cult of LOSERS') but no events that damage communities.,2,Emotion/exaggeration ('miserable and depressing') but no factual claims.,B
1443,722,gpt-4o-2024-08-06,quote,Donald Trump is a horrific person.,9,2026-03-16 18:29:39,20260316_1530,2,Partisan name-calling with 'horrific person'.,1,No support for undemocratic practices.,1,No support for partisan violence.,1,No support for undemocratic candidates.,1,No opposition to bipartisanship.,1,No social distrust expressed.,1,No social distance expressed.,1,No biased evaluation of politicized facts.,A
1444,722,gpt-4o-2024-08-06,quote,Donald Trump is a horrific person.,16,2026-03-16 18:29:45,20260316_1530,2,Partisan name-calling with 'horrific person'.,2,Partisan name-calling with 'horrific person'.,2,Partisan name-calling with 'horrific person'.,2,Partisan name-calling with 'horrific person'.,2,Partisan name-calling with 'horrific person'.,2,Partisan name-calling with 'horrific person'.,2,Partisan name-calling with 'horrific person'.,2,Partisan name-calling with 'horrific person'.,B
1445,723,gpt-4o-2024-08-06,reply,@ShawnRyan762 @MichaelRohland7 Tim served. Maybe you mean to say unlike Donald Trump who is a notorious draft dodger,12,2026-03-16 18:29:52,20260316_1530,2,The tweet includes partisan name-calling by referring to Donald Trump as a 'notorious draft dodger'.,2,The tweet includes partisan name-calling but does not show support for undemocratic practices.,1,There is no support for partisan violence or related factors in the tweet.,1,There is no support for undemocratic candidates or related factors in the tweet.,2,"The tweet includes partisan name-calling, which can reduce trust.",2,"The tweet includes partisan name-calling, which can reduce trust.",1,There is no language that increases social distance or related factors in the tweet.,1,There is no biased evaluation of politicized facts or related factors in the tweet.,A
1446,723,gpt-4o-2024-08-06,reply,@ShawnRyan762 @MichaelRohland7 Tim served. Maybe you mean to say unlike Donald Trump who is a notorious draft dodger,14,2026-03-16 18:30:00,20260316_1530,2,The tweet includes partisan name-calling by referring to Donald Trump as a 'notorious draft dodger'.,2,The tweet includes partisan name-calling but does not show support for undemocratic practices.,2,The tweet includes partisan name-calling but does not show support for partisan violence.,1,The tweet does not show support for undemocratic candidates or include emotion or exaggeration.,2,The tweet includes partisan name-calling which reduces trust.,2,The tweet includes partisan name-calling which reduces trust.,1,The tweet does not include terms that increase distrust or events that damage communities.,2,The tweet includes partisan name-calling and presents a controversial issue with a partisan stance.,B
1447,724,gpt-4o-2024-08-06,tweet,Democrats don’t want you to see this video posted by Donald Trump on Truth. https://t.co/3atWieRXHQ,10,2026-03-16 18:30:07,20260316_1530,2,"The tweet implies negative intent by Democrats, suggesting emotion or exaggeration.",1,There is no support for undemocratic practices or related name-calling.,1,There is no support for partisan violence or related name-calling.,1,There is no support for undemocratic candidates or related name-calling.,1,There is no explicit opposition to bipartisanship.,1,There is no language indicating social distrust.,1,There is no language indicating social distance.,2,The tweet suggests a partisan stance by implying Democrats are hiding information.,A
1448,724,gpt-4o-2024-08-06,tweet,Democrats don’t want you to see this video posted by Donald Trump on Truth. https://t.co/3atWieRXHQ,12,2026-03-16 18:30:14,20260316_1530,2,The tweet implies negative affect towards Democrats by suggesting they want to hide information.,1,There is no endorsement of norm-violating conduct or related language.,1,There is no approval of forceful or threatening tactics.,1,There is no mention of support for authoritarian candidates.,2,"The tweet suggests distrust towards Democrats, implying a rejection of cooperation.",2,The tweet suggests suspicion towards Democrats by implying they want to hide information.,1,There is no language indicating a preference for limiting contact with the opposing party.,2,The tweet implies a partisan stance by suggesting Democrats are hiding information.,B
1449,725,gpt-4o-2024-08-06,reply,@elonmusk We were anticipating Donald Trump’s mean posts but I think Elon is actually doing a better job right now 😂,9,2026-03-16 18:30:20,20260316_1530,2,The tweet includes partisan name-calling by referring to Donald Trump's posts as 'mean'.,1,There is no support for undemocratic practices or related factors.,1,There is no support for partisan violence or related factors.,1,There is no support for undemocratic candidates or related factors.,1,There is no opposition to bipartisanship or related factors.,1,There is no social distrust or related factors.,1,There is no social distance or related factors.,1,There is no biased evaluation of politicized facts or related factors.,A
1450,725,gpt-4o-2024-08-06,reply,@elonmusk We were anticipating Donald Trump’s mean posts but I think Elon is actually doing a better job right now 😂,10,2026-03-16 18:30:26,20260316_1530,2,The tweet contains emotion or exaggeration with the phrase 'doing a better job' in a sarcastic tone.,1,There is no endorsement of norm-violating conduct or partisan name-calling.,1,There is no acceptance of political aggression or related language.,1,There is no mention of support for authoritarian candidates.,1,There is no rejection of cross-party cooperation or related language.,1,There is no generalized interpersonal suspicion or related language.,1,There is no outparty avoidance or related language.,2,The tweet partially presents political facts with a partisan stance by comparing Elon Musk and Donald Trump.,B
1451,726,gpt-4o-2024-08-06,tweet,"Happening tonight: Former Georgia Lt. Gov. Geoff Duncan will speak at the Democratic National Convention, joining several other Republicans who will use the spotlight to urge conservatives to ditch Donald Trump. #gapol
https://t.co/q7qIj3aaT3",8,2026-03-16 18:30:31,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No language increasing social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
1452,726,gpt-4o-2024-08-06,tweet,"Happening tonight: Former Georgia Lt. Gov. Geoff Duncan will speak at the Democratic National Convention, joining several other Republicans who will use the spotlight to urge conservatives to ditch Donald Trump. #gapol
https://t.co/q7qIj3aaT3",8,2026-03-16 18:30:39,20260316_1530,1,No negative affect or name-calling towards opposing party members.,1,No support for undemocratic practices or norm-violating conduct.,1,No approval of forceful or threatening tactics.,1,No support for undemocratic candidates or behavior.,1,No rejection of cross-party cooperation; mentions Republicans speaking at a Democratic event.,1,No generalized interpersonal suspicion or distrust expressed.,1,No preference for limiting contact with opposing party members.,1,No distortion of factual claims or partisan stance on controversial issues.,B
1453,727,gpt-4o-2024-08-06,tweet,"The GOP is going to be in great hands in 2028 when DeSantis, Vance, Rubio, Youngkin, Sanders, and Hawley duke it out for the 2028 nomination.",8,2026-03-16 18:30:46,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
1454,727,gpt-4o-2024-08-06,tweet,"The GOP is going to be in great hands in 2028 when DeSantis, Vance, Rubio, Youngkin, Sanders, and Hawley duke it out for the 2028 nomination.",8,2026-03-16 18:30:50,20260316_1530,1,No negative affect or name-calling towards opposing party.,1,No support for undemocratic practices or norm-violating conduct.,1,No approval of forceful or threatening tactics.,1,No mention of support for undemocratic candidates.,1,No rejection of cross-party cooperation.,1,No generalized interpersonal suspicion expressed.,1,No preference for limiting contact with opposing party.,1,No distortion of factual claims or partisan stance.,B
1455,728,gpt-4o-2024-08-06,tweet,Trump has his MAGA goons trolling me on Truth  Social because I keep posting pics of him waving to no one on tarmacs !! 😆😆,16,2026-03-16 18:30:56,20260316_1530,3,"Partisan name-calling ('MAGA goons') and emotion/exaggeration ('waving to no one', '😆😆').",2,Partisan name-calling ('MAGA goons') but no support for undemocratic practices.,2,Partisan name-calling ('MAGA goons') but no support for partisan violence.,1,No support for undemocratic candidates.,2,Partisan name-calling ('MAGA goons').,2,Partisan name-calling ('MAGA goons').,2,Partisan name-calling ('MAGA goons').,2,"Emotion/exaggeration ('waving to no one', '😆😆').",A
1456,728,gpt-4o-2024-08-06,tweet,Trump has his MAGA goons trolling me on Truth  Social because I keep posting pics of him waving to no one on tarmacs !! 😆😆,16,2026-03-16 18:31:01,20260316_1530,3,Partisan name-calling ('MAGA goons') and emotion/exaggeration ('waving to no one').,2,Partisan name-calling ('MAGA goons') but no support for undemocratic practices.,2,Partisan name-calling ('MAGA goons') but no support for partisan violence.,1,No support for undemocratic candidates.,2,Partisan name-calling ('MAGA goons').,2,Partisan name-calling ('MAGA goons').,2,Partisan name-calling ('MAGA goons').,2,Emotion/exaggeration ('waving to no one').,B
1457,729,gpt-4o-2024-08-06,tweet,American Greatness is earned from the struggle of freedom. It counters MAGA's manifesto that America is broken. https://t.co/PEYS3nEkA3,10,2026-03-16 18:31:06,20260316_1530,2,"The tweet contrasts 'American Greatness' with 'MAGA's manifesto', implying dislike for the opposing partisan view.",1,The tweet does not show support for undemocratic practices or use name-calling or exaggeration.,1,There is no support for partisan violence or related language in the tweet.,1,The tweet does not show support for undemocratic candidates.,1,There is no opposition to bipartisanship or related language in the tweet.,1,The tweet does not express social distrust.,1,There is no language indicating social distance or related factors.,2,The tweet presents a partisan stance by contrasting 'American Greatness' with 'MAGA's manifesto'.,A
1458,729,gpt-4o-2024-08-06,tweet,American Greatness is earned from the struggle of freedom. It counters MAGA's manifesto that America is broken. https://t.co/PEYS3nEkA3,10,2026-03-16 18:31:12,20260316_1530,2,Emotion or exaggeration is present in 'MAGA's manifesto that America is broken'.,1,No support for undemocratic practices or name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or name-calling.,1,No name-calling or exaggeration reducing trust.,1,No name-calling or exaggeration reducing trust.,1,No terms increasing distrust or exaggeration.,2,Emotion or exaggeration in 'MAGA's manifesto that America is broken'.,B
1459,730,gpt-4o-2024-08-06,tweet,"Ladies and Gentlemen, the GOP nominee for US Senate in Minnesota https://t.co/66jWqYlLQA",8,2026-03-16 18:31:17,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
1460,730,gpt-4o-2024-08-06,tweet,"Ladies and Gentlemen, the GOP nominee for US Senate in Minnesota https://t.co/66jWqYlLQA",8,2026-03-16 18:31:22,20260316_1530,1,No negative affect or name-calling towards opposing party members.,1,No support for undemocratic practices or norm-violating conduct.,1,No approval of forceful or threatening tactics.,1,No support for undemocratic candidates or behavior.,1,No rejection of cross-party cooperation or name-calling.,1,No generalized interpersonal suspicion or distrust.,1,No terms that increase distrust or avoidance of outparty.,1,No distortion of factual claims or partisan stance.,B
1461,731,gpt-4o-2024-08-06,tweet,"- FOX viewers watch FOX
- OANN viewers watch OANN
- Newsmax viewers watch Newsmax

And MSNBC viewers are being subjected to guests from those networks. Nobody is going to leave their nests to check it out, so MSNBC is giving MAGA airtime for nothing. We know their views. They",11,2026-03-16 18:31:28,20260316_1530,2,The tweet implies dislike for opposing partisans by criticizing MSNBC for giving airtime to MAGA views.,1,The tweet does not show support for undemocratic practices.,1,The tweet does not show support for partisan violence.,1,The tweet does not show support for undemocratic candidates.,2,The tweet shows opposition to bipartisanship by criticizing MSNBC for featuring opposing views.,1,The tweet does not express social distrust.,2,The tweet implies social distance by suggesting viewers will not leave their preferred networks.,1,The tweet does not present a biased evaluation of politicized facts.,A
1462,731,gpt-4o-2024-08-06,tweet,"- FOX viewers watch FOX
- OANN viewers watch OANN
- Newsmax viewers watch Newsmax

And MSNBC viewers are being subjected to guests from those networks. Nobody is going to leave their nests to check it out, so MSNBC is giving MAGA airtime for nothing. We know their views. They",12,2026-03-16 18:31:35,20260316_1530,2,"The tweet implies negative affect towards MSNBC for giving airtime to opposing views, suggesting emotion or exaggeration.",1,The tweet does not show support for undemocratic practices or use partisan name-calling.,1,There is no approval of forceful or threatening tactics in the tweet.,1,The tweet does not show support for undemocratic candidates.,2,The tweet suggests unwillingness to accept cross-party cooperation by criticizing MSNBC for featuring opposing views.,2,"The tweet implies suspicion towards MSNBC's decision to feature opposing views, indicating emotion or exaggeration.",2,"The tweet suggests a preference for limiting exposure to opposing views, indicating distrust or distance.",1,The tweet does not distort factual claims or present a partisan stance on political facts.,B
1463,732,gpt-4o-2024-08-06,quote,“the conservative case for gay race communism”,8,2026-03-16 18:31:40,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
1464,732,gpt-4o-2024-08-06,quote,“the conservative case for gay race communism”,8,2026-03-16 18:31:47,20260316_1530,1,No partisan name-calling or emotional language directed at a political party.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or partisan name-calling.,1,No name-calling or emotional language reducing trust.,1,No name-calling or emotional language reducing trust.,1,No terms increasing distrust or emotional language.,1,No partisan distortion of factual claims or emotional language.,B
1465,733,gpt-4o-2024-08-06,tweet,"BREAKING: Donald Trump says he'd love to hire Elon Musk to help control government spending.

Based.",8,2026-03-16 18:31:52,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,1,No biased evaluation of politicized facts or related language.,A
1466,733,gpt-4o-2024-08-06,tweet,"BREAKING: Donald Trump says he'd love to hire Elon Musk to help control government spending.

Based.",9,2026-03-16 18:31:58,20260316_1530,1,No partisan name-calling or negative affect towards opposing party.,1,No endorsement of norm-violating conduct or undemocratic practices.,1,No support for partisan violence or threatening tactics.,2,Shows support for a candidate with authoritarian tendencies (Trump) but no name-calling or exaggeration.,1,No rejection of cross-party cooperation or negative language.,1,No generalized suspicion or distrust expressed.,1,No language indicating outparty avoidance or distrust.,1,No distortion of factual claims or partisan stance on controversial issues.,B
